University Name,Country,Language of teaching,"Minimum IELTS score
(or average)","Minimum GPA 
(or average)","Minimum SAT score
(or average)",Acceptance rate (%),"Cost per year 
for interational students","Cost per year 
for local students","National ranking","Global ranking",Scholarship (yes/no),"Public/Private","Student to faculty ratio",Link to official website
University of Pardubice,Czechia,Primarily Czech,5.5,a minimum percentage of 65% for a good chance of admission.,Not typically required,64%,"Bachelor's Programs: Generally ~$2,000 - $3,000 USD. Master's Programs: Generally ~$2,500 - $4,000 USD. PhD Programs: Generally ~$2,500 - $4,000 USD. Application fee of ~$21.50 USD (500 CZK) and recognition fee for previous education of ~$64.50 USD ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",10-15/70,1201-1400,yes,Public,1:14,https://www.upce.cz/en/ 
Mendel University in Brno,Czechia,Primarily Czech,6.0,a minimum percentage of 55% in previous studies for a good chance of admission.,Not typically required,40-49%,"Bachelor's Programs (e.g., Economics and Management): Approximately ~$3,825 USD. Master's Programs (e.g., Economics and Management): Approximately ~$2,598 - $3,773 USD. PhD Programs: Fees vary, often lower or no tuition fees if a scholarship is granted.","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",9-15/70,851-900,yes,Public,1:16,https://mendelu.cz/en/ 
"University of Economics, Prague",Czechia,Primarily Czech,6.0 - 6.5.,a 60% average academic score.,Not typically required,60%,"Bachelor's Programs: Generally ~$5,800 USD. Master's Programs: Generally ~$5,800 USD. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",top 3 universities,201-250 (Social Sciences and Management),yes,Public,1:23,https://www.vse.cz/english/ 
University of West Bohemia,Czechia,Primarily Czech,6.0,a 70% average academic score.,Not typically required,57%,"Some doctoral programs in English state ""no tuition fee"". Other Master's programs in English: Mastersportal lists some at ~$3,529 USD/year. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",11-12/70,1201-1400,yes,Public,1:15,https://www.zcu.cz/en/ 
Tomas Bata University in Zlín,Czechia,Primarily Czech,5.5,Not a universally stated minimum GPA.,Not typically required,50-59%,"Bachelor's Programs: Range from ~$2,124 USD to ~$2,549 USD. Master's Programs: Range from ~$2,398 USD to ~$2,900 USD. PhD Programs: Generally ~$2,000 USD. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",10-15/70,1201-1400,yes,Public,1:16,https://www.utb.cz/en/ 
University of Copenhagen,Denmark,Primarily Danish,6.5,"Not a specific universally stated GPA on a 4.0 scale due to varying international grading systems. successful scholarship recipients in 2024 had a GPA of minimum 90%, with some even having 98% in their Bachelor's degree.",Not typically required,"Highly competitive, typically ranging from 10% to 50% depending on the program.","Bachelor's Programs: Primarily taught in Danish, so no explicit tuition fees for international students unless they qualify for Danish-taught programs. Master's Programs: Range from ~$11,200 USD to $19,600 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are usually employed by the university.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",1/8,100,yes,Public,1:18,https://www.ku.dk/english/ 
Aarhus University,Denmark,Primarily Danish,6.5,Not a specific universally stated GPA on a 4.0 scale. a minimum 3.4 GPA on a 4.0 scale or a percentage of 85% is recommended. ,Not typically required,42%,"Bachelor's Programs in English: Range from ~$2,016 USD to ~$2,608 USD. Master's Programs: Range from ~$1,280 USD for some Arts/Humanities programs to ~$16,800 USD. Many are in the ~$13,000-$15,000 USD range. ","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",2/8,100,yes,Public,1:4,https://international.au.dk/ 
Technical University of Denmark (DTU),Denmark,Primarily Danish,6.5,Not a specific universally stated GPA on a 4.0 scale. Admission is highly competitive and based on academic excellence in previous degrees. DTU recommends approximately 75% of the maximum obtainable grade in the Bachelor's degree.,Not typically required,38% to 46%,"Bachelor's Programs: Primarily taught in Danish. Limited English-taught options, for which fees would likely be similar to Master's. Master's Programs: ~$17,400 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are typically employed by the university.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",3/8,109,yes,Public,1:4,https://www.dtu.dk/english/ 
University of Southern Denmark,Denmark,Primarily Danish,6.5,Not a specific universally stated GPA on a 4.0 scale. a minimum 3.0 GPA on a 4.0 scale. Successful applicants often have strong academic records.,Not typically required,35%,"Bachelor's Programs in English (limited availability): Approximately ~$7,540 USD. Master's Programs: Range from ~$9,860 USD to ~$11,600 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are usually employed by the university.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",4/8,303,yes,Public,1:8 or 1:16,https://www.sdu.dk/en/ 
Aalborg University,Denmark,Primarily Danish,6.5,Not a specific universally stated GPA on a 4.0 scale. a minimum 3.0 GPA on a 4.0 scale or an average academic score of 75%.,Not typically required,35-46%,"Bachelor's Programs in English (limited): Approximately ~$1,950 USD or ~$3,900 USD. Master's Programs: Range from ~$4,200 USD to ~$8,800 USD. This translates to ~$8,400 USD to ~$17,600 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are usually employed by the university and often receive a stipend.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",5/8,330,yes,Public, 1:7,https://www.en.aau.dk/ 
Copenhagen Business School (CBS),Denmark,Primarily Danish,6.5,"Not a specific universally stated GPA on a 4.0 scale. Admission is highly competitive and based on an overall assessment of academic grades, motivational essays, and relevant extracurricular activities. a minimum GPA of 2.0 on a 4.0 scale for eligibility, but successful applicants typically have much higher academic standing. ","Not generally required for admission. For some specialized programs like the Full-time MBA, a GMAT score of 600 (or GMAT Focus Edition 555, GRE 300) is required.",35-55%,"Bachelor's Programs in English (limited availability): Approximately ~$9,280 USD. Master's Programs: Generally ~$11,600 USD. The Full-time MBA for 2024 intake is ~$52,000 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are usually employed by the university.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",6/8,(Business & Management Studies): 15th globally,yes,Public,1:30,https://www.cbs.dk/en/ 
Roskilde University,Denmark,Primarily Danish,6.5,Not a specific universally stated GPA. Admission is based on the assessment of previous academic qualifications. A minimum 3.0 GPA on a 4.0 scale or an average academic score of 75% is recommended.,Not typically required,33%,"Humanities/Social Sciences: ~$10,324 USD (€8,900 EUR) per year. Computer Science, Chemical Biology, Environmental Science, Mathematical Bioscience, Physics and Scientific Modelling: ~$16,240 USD (€14,000 EUR) per year. Media and Communication: ~$14,500 USD (€12,500 EUR) per year. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are usually employed by the university.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.",7/8,681-690,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:15,https://ruc.dk/en/ 
IT University of Copenhagen,Denmark,"All Bachelor's, Master's, and PhD programs are offered entirely in English.",6.5,"Not a specific universally stated GPA. Admission is highly competitive and based on academic performance in previous degrees. For scholarship consideration, an ""excellent score"" according to admission rules is stated, implying a very high GPA.",Not typically required,40-50%,"Bachelor's Programs: ~$15,540 USD. Master's Programs: ~$15,540 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates, who are usually employed by the university and receive a salary.","No tuition fees for Danish, EU/EEA, or Swiss citizens for all programs (Bachelor's, Master's, PhD), regardless of teaching language.","Not specifically ranked nationally by major global ranking bodies as a separate entity from general Danish university rankings, but is a top specialized IT institution in Denmark.","ITU is a young and specialized university, and as such, it is not consistently listed in the overall top 1000 of major global rankings","Yes, but extremely limited and highly competitive for non-EU/EEA students. ITU offers 3-4 Danish State Scholarships to exceptionally talented non-EU/EEA MSc applicants each year. These scholarships cover free tuition and partially cover living expenses.",Public,1:13,https://en.itu.dk/ 
University of Tartu,Estonia,Both Estonian and English. , 6.0,"For some programs, a minimum final score of 66 out of 100 is required for consideration.",Not typically required,30-33%,"Bachelor's Programs: Range from ~$4,060 to $7,656 USD. Master's Programs: Range from ~$4,292 to $9,280 USD.  PhD Programs: Generally no tuition fees for accepted PhD candidates.","No tuition fees for EU/EEA students in most programs if they meet the full-time study load requirement. Fees may apply for specific programs or if the study load is not met. For programs in English, EU/EEA students pay the same tuition fees as international students.",1/19,362,yes,Public, 7:1.,https://ut.ee/en 
Tallinn University of Technology (TalTech),Estonia,Both Estonian and English. ,6.0,an average academic score of 78% as a good baseline.,Not typically required,72%,"Bachelor's Programs: Range from ~$3,944 to $6,960 USD. Master's Programs: Range from ~$4,300 to $8,120 USD. The MBA program is significantly higher at ~$9,048 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates. ","No tuition fees for EU/EEA students in most programs if they meet the full-time study load requirement. For programs in English, EU/EEA students pay the same tuition fees as international students.",2/19,635,yes,Public,9:1.,https://taltech.ee/en 
Tallinn University,Estonia,Both Estonian and English. ,5.5,an average academic score of 85% is suggested as a good guideline for a high chance of admission.,Not typically required,85%,"Bachelor's Programs: Vary by program. For example, Liberal Arts in Social Sciences is ~$7,020 USD. Master's Programs: Range from ~$4,408 to $5,336 USD. Specialized programs like Documentary Film are higher, at ~$5,336 USD. The Kino Eyes program is significantly higher at ~$10,440 USD. PhD Programs: Generally no tuition fees.","No tuition fees for EU/EEA students in most programs if they meet the full-time study load requirement. For programs in English, EU/EEA students pay the same tuition fees as international students.",3/19,901-950,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,19:1,https://www.tlu.ee/en 
Estonian University of Life Sciences,Estonia,Both Estonian and English. ,5.5,Not a specific universally stated GPA. The applicant must have at least 60% of the total score of their last studies.,Not typically required,88%.,"Bachelor's Programs: Range from ~$4,408 to $6,032 USD. Master's Programs: Range from ~$4,408 to $6,032 USD. Integrated BA and MA for Veterinary Medicine: ~$11,136 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates.","No tuition fees for EU/EEA students in most programs if they meet the full-time study load requirement. For programs in English, EU/EEA students pay the same tuition fees as international students.",3/19,Rankings by Subject 2024 (Agriculture & Forestry): 93rd globally. ,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,7:1,https://www.emu.ee/en/ 
Estonian Academy of Arts,Estonia,Both Estonian and English. ,6.0,Not a specific universally stated GPA.,Not typically required,Not officially published.,"Bachelor's Programs: Range from ~$4,292 to $6,032 USD. Master's Programs: Range from ~$4,292 to $6,032 USD. PhD Programs: Generally no tuition fees for accepted PhD candidates.","No tuition fees for EU/EEA students in most programs if they meet the full-time study load requirement. For programs in English, EU/EEA students pay the same tuition fees as international students.",Not specifically ranked nationally by major global ranking bodies as a general university. It is the top arts academy in Estonia.,Rankings by Subject 2024 (Art & Design): 151-200 globally.,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:5,https://www.artun.ee/en 
